Price,Close,High,Low,Open,Volume
Ticker,BAC,BAC,BAC,BAC,BAC
Date,,,,,
2005-11-17,29.363351821899414,29.395732615540666,29.07191973813573,29.143158966444208,11455700
2005-11-18,29.50583267211914,29.771359154311657,29.305067782462793,29.771359154311657,13406200
2005-11-21,29.68716812133789,29.74545454480929,29.473450411777264,29.531736835248665,14224100
2005-11-22,29.855558395385742,29.887941672633374,29.544698203686607,29.719557524735595,16508200
2005-11-23,30.250568389892578,30.43838026529909,29.758374391768818,29.79723031737448,17356500
2005-11-25,30.431917190551758,30.470773131593297,30.28296118157678,30.34124756363381,5130700
2005-11-28,30.1534423828125,30.535541503993258,30.12753677142853,30.44487186414937,14917500
2005-11-29,30.295913696289062,30.4124864592906,30.231152148174743,30.24410495189655,13686200
2005-11-30,30.040607452392578,30.439927328727656,30.007876847175055,30.433382206558196,14514600
2005-12-01,30.034080505371094,30.282835253306498,29.981709507582615,30.112634504867188,13589900
2005-12-02,30.197744369506836,30.230475003464452,29.95553218440844,30.034088702531474,9221600
2005-12-05,30.39411735534668,30.466126216820076,29.975159430977325,30.066806164784847,11815700
2005-12-06,30.31557273864746,30.590513025047535,30.19774047385115,30.41376462785307,12883300
2005-12-07,30.020978927612305,30.335197330380655,29.7329435188519,30.27628122378747,11727100
2005-12-08,29.968612670898438,30.132268270887504,29.82459744099473,30.007890913882875,10978000
2005-12-09,30.047164916992188,30.25009623414432,29.85732384846813,29.96860844210821,8840600
2005-12-12,29.94242286682129,30.158446911167527,29.863866398708375,30.099530808675695,10321300
2005-12-13,30.439943313598633,30.570868300406232,29.85732974435055,29.86387486995704,13980700
2005-12-14,30.62322425842285,30.760696811736505,30.439930850251848,30.51848481129865,15120000
2005-12-15,30.557771682739258,30.642873287966477,30.361385475987763,30.57086442948084,10459700
2005-12-16,30.74760627746582,30.930899698803792,30.662504690193657,30.7345135334866,18620400
2005-12-19,30.459571838378906,30.623227397359557,30.32210176815972,30.557766172641557,12631900
2005-12-20,30.56431770324707,30.669057183063146,30.49885646480684,30.590503197497632,11935800
2005-12-21,30.53156852722168,30.767232837869802,30.38100577257086,30.6821312818725,13973100
2005-12-22,30.714889526367188,30.760715403292167,30.472679876724957,30.623242766891043,12058500
2005-12-23,30.72796630859375,30.79997515281396,30.675597829188074,30.76724454103721,6523300
2005-12-27,30.47922706604004,30.93091573009543,30.47922706604004,30.49231981680515,9184500
2005-12-28,30.289379119873047,30.64942094486016,30.289379119873047,30.61014270139043,7799100
2005-12-29,30.237010955810547,30.49231581645593,30.21737308083265,30.34175045100357,6998700
2005-12-30,30.210817337036133,30.348287407939395,30.053706900871212,30.12571574673073,14498300
2006-01-03,30.819610595703125,30.88507180880239,30.21081182457613,30.71486865924796,16296700
2006-01-04,30.492305755615234,30.924356342881037,30.407204163479108,30.767245903336327,17757900
2006-01-05,30.53156852722168,30.65594830072189,30.32208969490883,30.492292806903432,14970700
2006-01-06,30.48577308654785,30.708344861705882,30.341755321096493,30.636335978980203,12599800
2006-01-09,30.505386352539062,30.74759830759425,30.348278459882387,30.583942796052334,15619400
2006-01-10,30.25009536743164,30.44648155464296,30.03407131065494,30.374475200507966,15634600
2006-01-11,30.17808723449707,30.276281579033167,29.9489704268274,30.151904240181906,14742100
2006-01-12,29.981698989868164,30.263186761267505,29.922782886617473,30.256641637433315,10546600
2006-01-13,29.981698989868164,30.112623941223678,29.903145017929155,30.001339355742225,10791000
